,Name,Symbol,ATH
0,yflink,yfl,1879.17
1,octofi,octo,45.68
2,hakka-finance,hakka,1.14
3,nsure-network,nsure,3.42
4,chartex,chart,0.165856
5,empty-set-dollar,esd,23.88
6,aave,aave,89.54
7,pickle-finance,pickle,85.24
8,yearn-finance,yfi,43678.0
9,value-liquidity,value,46.9
10,bounce-token,bot,956.66
11,hegic,hegic,0.294603
12,yaxis,yax,16.83
13,keysians-network,ken,15.21
14,easyfi,easy,10.86
15,zcash,zec,3191.93
16,dhedge-dao,dht,2.46
17,non-fungible-yearn,nfy,36.22
18,safe2,safe2,551.4
19,bnsd-finance,bnsd,0.276547
20,hxro,hxro,0.253369
21,meta,mta,11.03
22,alpha-finance,alpha,0.293216
23,harvest-finance,farm,5078.47
24,deus-finance,deus,2.26
25,dify-finance,yfiii,2001.6
26,linear,lina,0.03415211
27,rook,rook,806.09
28,cvault-finance,core,9239.52
29,moonswap,moon,12.0
30,rari-governance-token,rgt,5.72
31,apy-finance,apy,2.76
32,based-money,$based,1393.4
33,etherisc,dip,0.188865
34,swag-finance,swag,0.630593
35,api3,api3,1.4
36,ampleforth,ampl,4.07
37,polkastarter,pols,0.914883
